"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2021","78,000","78,000","78,000","78,000","","0.00%"
"12/17/2021","78,000","76,800","78,000","76,800","11.80M","0.26%"
"12/16/2021","77,800","78,300","78,400","77,400","1.76K","0.26%"
"12/15/2021","77,600","76,400","77,600","76,400","0.22K","0.78%"
"12/14/2021","77,000","76,500","77,200","76,200","0.31K","0.26%"
"12/13/2021","76,800","77,100","78,300","76,500","1.73K","-0.13%"
"12/12/2021","76,900","76,900","76,900","76,900","","0.00%"
"12/10/2021","76,900","77,400","77,600","76,800","9.09M","-1.66%"
"12/09/2021","78,200","77,300","78,200","77,000","0.62K","1.03%"
"12/08/2021","77,400","78,100","78,600","77,100","4.96K","0.00%"
"12/07/2021","77,400","76,100","77,600","75,600","0.19K","1.44%"
"12/06/2021","76,300","75,100","76,700","75,000","0.38K","0.93%"
"12/05/2021","75,600","75,600","75,600","75,600","","0.00%"
"12/03/2021","75,600","75,600","76,000","74,100","17.62M","-0.26%"
"12/02/2021","75,800","73,900","75,800","73,800","27.76K","1.88%"
"12/01/2021","74,400","72,000","74,700","71,600","1.37K","4.35%"
"11/30/2021","71,300","73,200","73,900","70,500","17.28K","-1.38%"
"11/29/2021","72,300","71,700","73,000","71,600","0.40K","0.00%"
"11/28/2021","72,300","72,300","72,300","72,300","","0.00%"
"11/26/2021","72,300","73,500","74,100","72,000","12.66M","-1.90%"
"11/25/2021","73,700","75,100","75,100","73,600","2.22K","-1.47%"
"11/24/2021","74,800","75,800","76,200","74,100","0.49K","-0.66%"
"11/23/2021","75,300","75,700","75,900","74,500","2.61K","0.53%"
"11/22/2021","74,900","73,100","75,100","73,000","51.35K","5.20%"
"11/21/2021","71,200","71,200","71,200","71,200","","0.00%"
"11/19/2021","71,200","70,400","71,400","70,100","11.91M","1.42%"
"11/18/2021","70,200","70,700","71,000","70,200","1.35K","-0.71%"
"11/17/2021","70,700","71,300","71,600","70,600","10.89M","-0.84%"
"11/16/2021","71,300","71,500","72,000","71,300","0.31K","-0.14%"
"11/15/2021","71,400","71,700","71,900","70,900","4.87K","1.13%"
"11/14/2021","70,600","70,600","70,600","70,600","","0.00%"
"11/12/2021","70,600","70,200","70,900","69,900","10.04M","1.00%"
"11/11/2021","69,900","69,900","70,000","69,600","11.44M","-0.43%"
"11/10/2021","70,200","70,300","70,900","70,200","0.98K","-0.43%"
"11/09/2021","70,500","70,400","70,900","70,100","4.89K","-0.14%"
"11/08/2021","70,600","70,300","70,600","69,800","0.59K","0.57%"
"11/07/2021","70,200","70,200","70,200","70,200","","0.00%"
"11/05/2021","70,200","71,600","71,600","70,200","12.61M","-0.57%"
"11/04/2021","70,600","71,100","71,600","70,500","1.57K","0.28%"
"11/03/2021","70,400","71,700","71,700","70,100","0.21K","-1.54%"
"11/02/2021","71,500","70,700","72,200","70,700","4.70K","2.29%"
"11/01/2021","69,900","70,200","70,600","69,900","0.07K","0.14%"
"10/31/2021","69,800","69,800","69,800","69,800","","0.00%"
"10/29/2021","69,800","71,200","71,600","69,700","16.50M","-1.27%"
"10/28/2021","70,700","69,600","72,100","69,500","2.15K","0.86%"
"10/27/2021","70,100","71,000","71,000","70,000","3.67K","-1.41%"
"10/26/2021","71,100","70,500","71,500","70,400","8.81K","1.28%"
"10/25/2021","70,200","70,000","70,600","69,500","0.15K","-0.28%"
"10/24/2021","70,400","70,400","70,400","70,400","","0.00%"
"10/22/2021","70,400","70,000","70,700","70,000","8.38M","0.28%"
"10/21/2021","70,200","70,300","70,600","70,000","2.87K","-0.14%"
"10/20/2021","70,300","70,800","71,000","70,200","1.54K","-0.42%"
"10/19/2021","70,600","70,800","71,000","70,400","0.03K","0.57%"
"10/18/2021","70,200","70,100","70,300","69,200","1.20K","0.14%"
"10/17/2021","70,100","70,100","70,100","70,100","","0.00%"
"10/15/2021","70,100","70,200","71,000","70,000","17.53M","1.01%"
"10/14/2021","69,400","69,100","69,800","68,800","0.23K","0.87%"
"10/13/2021","68,800","68,700","69,600","68,400","0.57K","-0.29%"
"10/12/2021","69,000","70,800","70,900","68,700","18.42K","-3.50%"
"10/11/2021","71,500","71,500","71,500","71,500","","0.00%"
"10/08/2021","71,500","72,300","72,400","71,500","13.97M","-0.14%"
"10/07/2021","71,600","71,800","72,100","71,300","0.17K","0.42%"
"10/06/2021","71,300","72,700","72,800","71,200","8.34K","-1.25%"
"10/05/2021","72,200","72,900","73,000","71,400","1.12K","-1.37%"
